	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT5G34960	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34965	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34970	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34980	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34985	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34990	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35000	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35010	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35020	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35021	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35023	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35025	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35030	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35035	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35040	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35045	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35046	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35048	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35050	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35052	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35057	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35061	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35065	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35066	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35069	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35070	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35073	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35076	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35080	0	0	0	3.96437125316382	0	0	3.25141228958974	1.19959748056523	2.54731624741668	0	0	0
AT5G35090	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35100	0	0	0	13.8752993860734	13.2497264016521	9.46912543949531	2.71936300583869	6.16935847147834	1.01892649896667	0	0	0
AT5G35110	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35111	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35113	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35116	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35118	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35120	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35130	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35140	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35142	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35145	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35146	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35148	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35150	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35160	0	0	0	22.464770434595	21.1995622426433	18.6000678275801	20.0996396083729	13.0242012175654	15.7933607339834	0	0	0
AT5G35170	0	0	0	52.6380405281197	0	20.6291661360434	36.4158176434051	14.566540835435	15.0291658597584	0	0	0
AT5G35180	0	0	0	22.685013281993	0	11.8364067993691	17.7349761250349	10.9677483937393	10.9534598638917	18.6675259388305	0	0
AT5G35190	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35195	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35200	0	0	0	12.3335994542875	0	15.5564203648852	11.3503847200224	16.7943647279133	19.1897823972056	0	0	0
AT5G35205	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35207	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35210	84.8665504613367	0	0	31.7149700253106	0	36.5237695523391	28.1394954517221	10.9677483937393	50.0123089909474	28.0012889082457	0	0
AT5G35220	0	0	0	6.16679972714373	0	5.7491118739793	10.1089363912699	5.99798740282617	5.51918520273613	0	0	0
AT5G35230	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35240	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35250	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35260	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35270	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35280	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35290	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35300	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35310	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35320	0	0	0	0	0	1.69091525705273	1.12321515458555	5.65524526552182	1.86803191477223	0	0	0
AT5G35330	0	0	0	5.06558549015377	0	8.79275933667422	6.08900846959533	21.2500125128699	11.1232809470528	0	0	0
AT5G35331	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35332	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35334	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35336	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35337	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35338	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35339	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35340	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35341	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35344	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35348	0	0	0	0	0	0	0	0	0	0	0	0
